Profile Links,Status;name;city;address;website;instagram;status
;la buvette;Rome, Italy;Via Vittoria, 44/47, 00187 Roma RM, Italy;http://www.dbs-restaurants.com/;https://www.instagram.com/labuvetteroma;Успешно отправлено
;Marziali 1922 - Via Po;Rome, Italy;V. Po, 80, 00198 Roma RM, Italy;http://www.marziali1922.com/;https://www.instagram.com/marziali1922/;Успешно отправлено
;Riccardo Taliani Banqueting;Rome, Italy;Via Genova, 26, 00184 Roma RM, Italy;https://talianiroma.it/;https://www.instagram.com/talianiroma__/;Успешно отправлено
;ThRoof Roma;Rome, Italy;Via Barberini, 50, 00187 Roma RM, Italy;https://www.throof.it/;https://www.instagram.com/qodeinteractive/;Успешно отправлено
;Caffè Palombini;Rome, Italy;P.le Konrad Adenauer, 12, 00144 Roma RM, Italy;https://www.palombini.com/;https://www.instagram.com/palombini_roma/;Успешно отправлено
;Rooftop Jim's Bar;Rome, Italy;Via Alessandro Specchi, 10, 00186 Roma RM, Italy;https://singerpalacehotel.com/rooftop-jims-bar/?utm_source=google&utm_medium=organic&utm_campaign=gmb;https://www.instagram.com/singerpalacehotel/;Успешно отправлено
;Juice Bar;Rome, Italy;Presso Stazione di Roma Termini, Via Marsala, 25, 00185 Roma RM, Italy;http://www.chefexpress.it/;https://www.instagram.com/chefexpress4u/;Успешно отправлено
;Bar della Pace;Rome, Italy;Via della Pace, 3, 00186 Roma RM, Italy;http://www.bardellapace.it/;https://www.instagram.com/bardellapace_official;Успешно отправлено
;Il Bar della Musa;Rome, Italy;Largo del Nazareno, 25, 00187 Roma RM, Italy;https://www.palazzotalia.com/en/drink-and-dine/il-bar-della-musa.html?utm_source=google&utm_medium=local&utm_campaign=googlemybusiness;https://www.instagram.com/palazzo.talia/;Успешно отправлено
;Hotel Virgilio;Rome, Italy;Via Palermo, 30, 00184 Roma RM, Italy;http://www.hotelvirgilio.it/;https://www.instagram.com/hotelvirgiliorome;Успешно отправлено
;Hotel Hiberia Rome;Rome, Italy;Via Ventiquattro Maggio, 8, 00187 Roma RM, Italy;http://www.hotelhiberia.it/;https://www.instagram.com/hotelhiberia/;Успешно отправлено
;Ginevra Palace Hotel;Rome, Italy;Via San Giovanni della Croce, 35, 00166 Roma RM, Italy;http://www.ginevrapalacehotel.it/;https://www.instagram.com/park.hotel.ginevra/;Кнопка сообщения не найдена
;Hotel Ponte Milvio;Rome, Italy;Via della Farnesina, 23, 00135 Roma RM, Italy;http://www.hotelpontemilvio.com/;https://www.instagram.com/hotelpontemilvio/;Кнопка сообщения не найдена
;Daplace - La Locanda di Piazza del Popolo;Rome, Italy;Via Gian Domenico Romagnosi, 3, 00196 Roma RM, Italy;https://book.staydaplace.com/roma/locanda-piazza-del-popolo;https://www.instagram.com/staydaplace;Кнопка сообщения не найдена
;Hotel St. Martin;Rome, Italy;Via S. Martino della Battaglia, 58, 00185 Roma RM, Italy;https://www.stmartinroma.com/?utm_source=gbp&utm_medium=organic;https://www.instagram.com/hotelstmartin/;Кнопка сообщения не найдена
;Adesso Hotel;Rome, Italy;Via Guido Mazzoni, 18-28, 00162 Roma RM, Italy;https://www.adessohotel.it/;https://www.instagram.com/adessohotel/;Кнопка сообщения не найдена
;Radio Hotel;Rome, Italy;Via Antonio Pacinotti, 8e, 00146 Roma RM, Italy;http://www.radiohotelroma.com/;https://www.instagram.com/radio_hotel_roma/;Кнопка сообщения не найдена
;Hotel Valle Rome;Rome, Italy;Via Cavour, 134, 00184 Roma RM, Italy;https://www.hotelvalle.it/;https://www.instagram.com/hotel_valle_roma_/;Успешно отправлено
;Caravel Hotel - 4 stars;Rome, Italy;Via Cristoforo Colombo, 124, 00147 Roma RM, Italy;http://www.hotelcaravel.it/;https://www.instagram.com/hotelcaravel/;Успешно отправлено
;Idea Hotel;Rome, Italy;Via Attilio Benigni, 7, 00156 Roma RM, Italy;https://sotelnomentana.com/;https://www.instagram.com/ideahotelroma/;Кнопка сообщения не найдена
;Hotel Trevi;Rome, Italy;Vicolo del Babuccio, 20/21, 00187 Roma RM, Italy;https://www.hoteltrevirome.com/;https://www.instagram.com/hoteltrevi/;Кнопка сообщения не найдена
;Trastevere Roma | UNA Esperienze;Rome, Italy;Via Emilio Morosini, 27, 00153 Roma RM, Italy;https://www.unaitalianhospitality.com/it/soggiorni/trastevere-roma-una-esperienze;https://www.instagram.com/una_esperienze/;Кнопка сообщения не найдена
;Best Western Hotel Royal Santina;Rome, Italy;Via Marsala, 22, 00185 Roma RM, Italy;https://www.hotelroyalsantina.com/?utm_source=google&utm_medium=organic&utm_campaign=localmarketing;https://www.instagram.com/hotelroyalsantinaroma/;Кнопка сообщения не найдена
;Hotel Zone;Rome, Italy;Via Alfredo Fusco, 118, 00136 Roma RM, Italy;http://www.zonehotel.com/;https://www.instagram.com/hotel.zone/;Кнопка сообщения не найдена
;Best Western Hotel Globus;Rome, Italy;Viale Ippocrate, 119, 00161 Roma RM, Italy;https://www.globushotel.com/;https://www.instagram.com/bwglobusroma/;Кнопка сообщения не найдена
;Best Western Ars Hotel;Rome, Italy;Via Monte Altissimo, 20-24, 00141 Roma RM, Italy;http://www.arshotel.com/;https://www.instagram.com/bwarshotelroma/;Кнопка сообщения не найдена
;Mecenate Palace Hotel;Rome, Italy;Via Carlo Alberto, 3, 00185 Roma RM, Italy;https://en.mecenatepalace.com/?utm_source=google&utm_medium=organic&utm_campaign=GoogleMyBusiness&partner=8122;https://www.instagram.com/explore/locations/242436717/mecenate-palace-hotel-roma/;Кнопка сообщения не найдена
;Residenza Paolo VI Hotel;Rome, Italy;Via Paolo VI, 29, 00193 Roma RM, Italy;http://www.residenzapaolovi.com/;https://www.instagram.com/residenzasanpaolovi/;Кнопка сообщения не найдена
;Star Hotel Roma;Rome, Italy;Via Palestro, 49, 00185 Roma RM, Italy;https://www.starhotels.com/it/i-nostri-hotel/metropole-roma/;https://www.instagram.com/starhotels;Кнопка сообщения не найдена
;Hotel Royal Court;Rome, Italy;Via Marghera, 51, 00185 Roma RM, Italy;https://www.royalcourthotel.it/;https://www.instagram.com/hotelroyalcourtsrl/;Кнопка сообщения не найдена
